Время от начала полета (секунды),Высота над уровнем моря (метры),Масса корабля (тонны),Тангаж / угол наклона (градусы),Орбитальная скорость (м/с),Скорость относительно поверхности (м/с),Общая скорость (м/с),Апогейное расстояние (метры)
336.14,143618.4,7737.88,7.0,1750.5,0.0,0.0,153284.4
336.24,143631.1,7737.88,7.0,1750.4,0.0,0.0,153284.4
336.35,143639.6,7737.88,7.0,1750.3,0.0,0.0,153284.4
336.57,143660.7,7737.88,7.0,1750.3,0.0,0.0,153284.4
336.68,143673.4,7737.88,7.0,1750.2,0.0,0.0,153284.4
336.81,143686.1,7737.88,6.9,1750.2,0.0,0.0,153284.4
336.92,143707.2,7737.88,6.9,1750.1,0.0,0.0,153284.4
337.02,143732.5,7737.88,6.9,1750.0,0.0,0.0,153284.4
337.13,143753.5,7737.88,6.9,1750.0,0.0,0.0,153284.4
337.23,143774.5,7737.88,6.9,1749.9,0.0,0.0,153284.4
337.34,143799.7,7737.88,6.9,1749.8,0.0,0.0,153284.4
337.45,143820.7,7737.88,6.9,1749.7,0.0,0.0,153284.4
337.55,143833.3,7737.88,6.9,1749.7,0.0,0.0,153284.4
337.66,143854.2,7737.88,6.9,1749.6,0.0,0.0,153284.4
337.76,143879.3,7737.88,6.9,1749.5,0.0,0.0,153284.4
337.87,143900.2,7737.88,6.9,1749.4,0.0,0.0,153284.4
337.98,143925.2,7737.88,6.9,1749.3,0.0,0.0,153284.4
338.08,143941.9,7737.88,6.9,1749.3,0.0,0.0,153284.4
338.18,143966.9,7737.88,6.9,1749.2,0.0,0.0,153284.4
338.29,143987.7,7737.88,6.8,1749.1,0.0,0.0,153284.4
338.39,144008.5,7737.88,6.8,1749.0,0.0,0.0,153284.4
338.49,144029.2,7737.88,6.8,1748.9,0.0,0.0,153284.4
338.60,144049.9,7737.88,6.8,1748.9,0.0,0.0,153284.4
338.71,144070.6,7737.88,6.8,1748.8,0.0,0.0,153284.4
338.81,144095.4,7737.88,6.8,1748.7,0.0,0.0,153284.4
338.91,144116.1,7737.88,6.8,1748.6,0.0,0.0,153284.4
339.01,144140.8,7737.88,6.8,1748.5,0.0,0.0,153284.4
339.12,144157.3,7737.88,6.8,1748.5,0.0,0.0,153284.4
339.23,144182.0,7737.88,6.8,1748.4,0.0,0.0,153284.4
339.33,144202.5,7737.88,6.8,1748.3,0.0,0.0,153284.4
339.44,144219.0,7737.88,6.8,1748.3,0.0,0.0,153284.4
339.55,144243.6,7737.88,6.7,1748.2,0.0,0.0,153284.4
339.65,144264.0,7737.88,6.7,1748.1,0.0,0.0,153284.4
339.75,144284.5,7737.88,6.7,1748.0,0.0,0.0,153284.4
339.86,144309.0,7737.88,6.7,1747.9,0.0,0.0,153284.4
339.96,144329.4,7737.88,6.7,1747.9,0.0,0.0,153284.4
340.07,144349.8,7737.88,6.7,1747.8,0.0,0.0,153284.4
340.17,144370.2,7737.88,6.7,1747.7,0.0,0.0,153284.4
340.27,144394.5,7737.88,6.7,1747.6,0.0,0.0,153284.4
340.38,144410.8,7737.88,6.7,1747.6,0.0,0.0,153284.4
340.48,144435.1,7737.88,6.7,1747.5,0.0,0.0,153284.4
340.59,144455.4,7737.88,6.7,1747.4,0.0,0.0,153284.4
340.70,144475.6,7737.88,6.7,1747.3,0.0,0.0,153284.4
340.81,144503.9,7737.88,6.7,1747.2,0.0,0.0,153284.4
340.91,144516.0,7737.88,6.7,1747.2,0.0,0.0,153284.4
341.02,144544.3,7737.88,6.6,1747.1,0.0,0.0,153284.4
341.13,144564.4,7737.88,6.6,1747.0,0.0,0.0,153284.4
341.24,144588.5,7737.88,6.6,1746.9,0.0,0.0,153284.4
341.34,144608.6,7737.88,6.6,1746.8,0.0,0.0,153284.4
341.44,144628.7,7737.88,6.6,1746.8,0.0,0.0,153284.4
341.55,144648.7,7737.88,6.6,1746.7,0.0,0.0,153284.4
341.65,144668.7,7737.88,6.6,1746.6,0.0,0.0,153284.4
341.76,144692.7,7737.88,6.6,1746.5,0.0,0.0,153284.4
341.87,144712.7,7737.88,6.6,1746.5,0.0,0.0,153284.4
341.97,144736.6,7737.88,6.6,1746.4,0.0,0.0,153284.4
342.07,144752.5,7737.88,6.6,1746.3,0.0,0.0,153284.4
342.18,144776.4,7737.88,6.6,1746.2,0.0,0.0,153284.4
342.29,144792.3,7737.88,6.6,1746.2,0.0,0.0,153284.4
342.40,144816.1,7737.88,6.5,1746.1,0.0,0.0,153284.4
342.50,144839.9,7737.88,6.5,1746.0,0.0,0.0,153284.4
342.60,144855.7,7737.88,6.5,1745.9,0.0,0.0,153284.4
342.70,144879.4,7737.88,6.5,1745.8,0.0,0.0,153284.4
342.80,144899.2,7737.88,6.5,1745.8,0.0,0.0,153284.4
342.91,144918.9,7737.88,6.5,1745.7,0.0,0.0,153284.4
343.02,144938.6,7737.88,6.5,1745.6,0.0,0.0,153284.4
343.12,144962.2,7737.88,6.5,1745.6,0.0,0.0,153284.4
343.22,144977.9,7737.88,6.5,1745.5,0.0,0.0,153284.4
343.33,145001.5,7737.88,6.5,1745.4,0.0,0.0,153284.4
343.43,145021.1,7737.88,6.5,1745.3,0.0,0.0,153284.4
343.53,145040.7,7737.88,6.5,1745.3,0.0,0.0,153284.4
343.63,145060.2,7737.88,6.5,1745.2,0.0,0.0,153284.4
343.74,145083.6,7737.88,6.4,1745.1,0.0,0.0,153284.4
343.85,145099.2,7737.88,6.4,1745.0,0.0,0.0,153284.4
343.96,145122.6,7737.88,6.4,1745.0,0.0,0.0,153284.4
344.06,145146.0,7737.88,6.4,1744.9,0.0,0.0,153284.4
344.17,145165.4,7737.88,6.4,1744.8,0.0,0.0,153284.4
344.27,145184.8,7737.88,6.4,1744.7,0.0,0.0,153284.4
344.38,145204.2,7737.88,6.4,1744.7,0.0,0.0,153284.4
344.48,145227.4,7737.88,6.4,1744.6,0.0,0.0,153284.4
344.58,145246.7,7737.88,6.4,1744.5,0.0,0.0,153284.4
344.69,145266.0,7737.88,6.4,1744.5,0.0,0.0,153284.4
344.80,145281.5,7737.88,6.4,1744.4,0.0,0.0,153284.4
344.91,145304.6,7737.88,6.4,1744.3,0.0,0.0,153284.4
345.01,145327.7,7737.88,6.3,1744.2,0.0,0.0,153284.4
345.11,145346.9,7737.88,6.3,1744.1,0.0,0.0,153284.4
345.22,145369.9,7737.88,6.3,1744.1,0.0,0.0,153284.4
345.33,145389.0,7737.88,6.3,1744.0,0.0,0.0,153284.4
345.43,145408.2,7737.88,6.3,1743.9,0.0,0.0,153284.4
345.54,145431.1,7737.88,6.3,1743.9,0.0,0.0,153284.4
345.65,145450.2,7737.88,6.3,1743.8,0.0,0.0,153284.4
345.75,145469.3,7737.88,6.3,1743.7,0.0,0.0,153284.4
345.86,145492.1,7737.88,6.3,1743.6,0.0,0.0,153284.4
345.97,145507.3,7737.88,6.3,1743.6,0.0,0.0,153284.4
346.08,145530.1,7737.88,6.3,1743.5,0.0,0.0,153284.4
346.18,145549.1,7737.88,6.3,1743.4,0.0,0.0,153284.4
346.29,145568.0,7737.88,6.3,1743.4,0.0,0.0,153284.4
346.39,145586.9,7737.88,6.2,1743.3,0.0,0.0,153284.4
346.49,145609.6,7737.88,6.2,1743.2,0.0,0.0,153284.4
346.60,145628.4,7737.88,6.2,1743.1,0.0,0.0,153284.4
346.71,145651.1,7737.88,6.2,1743.0,0.0,0.0,153284.4
346.81,145666.1,7737.88,6.2,1743.0,0.0,0.0,153284.4
346.92,145688.7,7737.88,6.2,1742.9,0.0,0.0,153284.4
347.02,145707.4,7737.88,6.2,1742.8,0.0,0.0,153284.4
347.13,145726.2,7737.88,6.2,1742.8,0.0,0.0,153284.4
347.23,145744.9,7737.88,6.2,1742.7,0.0,0.0,153284.4
347.33,145767.3,7737.88,6.2,1742.6,0.0,0.0,153284.4
347.44,145786.0,7737.88,6.2,1742.6,0.0,0.0,153284.4
347.54,145804.6,7737.88,6.2,1742.5,0.0,0.0,153284.4
347.64,145823.3,7737.88,6.2,1742.4,0.0,0.0,153284.4
347.75,145845.6,7737.88,6.1,1742.3,0.0,0.0,153284.4
347.85,145860.4,7737.88,6.1,1742.3,0.0,0.0,153284.4
347.96,145882.7,7737.88,6.1,1742.2,0.0,0.0,153284.4
348.06,145901.2,7737.88,6.1,1742.1,0.0,0.0,153284.4
348.16,145919.7,7737.88,6.1,1742.1,0.0,0.0,153284.4
348.26,145938.2,7737.88,6.1,1742.0,0.0,0.0,153284.4
348.36,145956.7,7737.88,6.1,1741.9,0.0,0.0,153284.4
348.47,145978.8,7737.88,6.1,1741.8,0.0,0.0,153284.4
348.58,145989.8,7737.88,6.1,1741.8,0.0,0.0,153284.4
348.68,146008.2,7737.88,6.1,1741.7,0.0,0.0,153284.4
348.79,146030.3,7737.88,6.1,1741.7,0.0,0.0,153284.4
348.90,146044.9,7737.88,6.1,1741.6,0.0,0.0,153284.4
349.00,146066.9,7737.88,6.1,1741.5,0.0,0.0,153284.4
349.11,146085.2,7737.88,6.0,1741.5,0.0,0.0,153284.4
349.22,146107.1,7737.88,6.0,1741.4,0.0,0.0,153284.4
349.33,146129.0,7737.88,6.0,1741.3,0.0,0.0,153284.4
349.43,146147.2,7737.88,6.0,1741.2,0.0,0.0,153284.4
349.54,146165.4,7737.88,6.0,1741.2,0.0,0.0,153284.4
349.65,146187.2,7737.88,6.0,1741.1,0.0,0.0,153284.4
349.75,146205.4,7737.88,6.0,1741.0,0.0,0.0,153284.4
349.86,146223.5,7737.88,6.0,1741.0,0.0,0.0,153284.4
349.96,146245.2,7737.88,6.0,1740.9,0.0,0.0,153284.4
350.06,146259.6,7737.88,6.0,1740.8,0.0,0.0,153284.4
350.17,146277.7,7737.88,6.0,1740.8,0.0,0.0,153284.4
350.27,146299.3,7737.88,6.0,1740.7,0.0,0.0,153284.4
350.38,146317.3,7737.88,6.0,1740.6,0.0,0.0,153284.4
350.48,146338.9,7737.88,5.9,1740.5,0.0,0.0,153284.4
350.59,146353.2,7737.88,5.9,1740.5,0.0,0.0,153284.4
350.69,146374.7,7737.88,5.9,1740.4,0.0,0.0,153284.4
350.80,146392.6,7737.88,5.9,1740.3,0.0,0.0,153284.4
350.90,146410.5,7737.88,5.9,1740.3,0.0,0.0,153284.4
351.01,146431.9,7737.88,5.9,1740.2,0.0,0.0,153284.4
351.12,146446.2,7737.88,5.9,1740.1,0.0,0.0,153284.4
351.22,146467.5,7737.88,5.9,1740.1,0.0,0.0,153284.4
351.33,146488.9,7737.88,5.9,1740.0,0.0,0.0,153284.4
351.43,146506.6,7737.88,5.9,1739.9,0.0,0.0,153284.4
351.54,146524.3,7737.88,5.9,1739.9,0.0,0.0,153284.4
351.64,146542.1,7737.88,5.9,1739.8,0.0,0.0,153284.4
351.75,146559.7,7737.88,5.8,1739.7,0.0,0.0,153284.4
351.85,146577.4,7737.88,5.8,1739.7,0.0,0.0,153284.4
351.96,146598.5,7737.88,5.8,1739.6,0.0,0.0,153284.4
352.06,146616.1,7737.88,5.8,1739.5,0.0,0.0,153284.4
352.16,146633.7,7737.88,5.8,1739.5,0.0,0.0,153284.4
352.27,146651.3,7737.88,5.8,1739.4,0.0,0.0,153284.4
352.38,146668.8,7737.88,5.8,1739.3,0.0,0.0,153284.4
352.48,146689.8,7737.88,5.8,1739.3,0.0,0.0,153284.4
352.58,146707.3,7737.88,5.8,1739.2,0.0,0.0,153284.4
352.68,146724.8,7737.88,5.8,1739.1,0.0,0.0,153284.4
352.78,146745.7,7737.88,5.8,1739.1,0.0,0.0,153284.4
352.89,146763.1,7737.88,5.8,1739.0,0.0,0.0,153284.4
353.00,146777.0,7737.88,5.8,1738.9,0.0,0.0,153284.4
353.10,146797.9,7737.88,5.7,1738.9,0.0,0.0,153284.4
353.20,146815.2,7737.88,5.7,1738.8,0.0,0.0,153284.4
353.31,146832.5,7737.88,5.7,1738.7,0.0,0.0,153284.4
353.42,146853.3,7737.88,5.7,1738.7,0.0,0.0,153284.4
353.52,146870.5,7737.88,5.7,1738.6,0.0,0.0,153284.4
353.63,146891.2,7737.88,5.7,1738.5,0.0,0.0,153284.4
353.73,146908.4,7737.88,5.7,1738.5,0.0,0.0,153284.4
353.84,146922.2,7737.88,5.7,1738.4,0.0,0.0,153284.4
353.94,146939.4,7737.88,5.7,1738.3,0.0,0.0,153284.4
354.04,146959.9,7737.88,5.7,1738.3,0.0,0.0,153284.4
354.15,146977.1,7737.88,5.7,1738.2,0.0,0.0,153284.4
354.25,146994.2,7737.88,5.7,1738.2,0.0,0.0,153284.4
354.36,147014.7,7737.88,5.7,1738.1,0.0,0.0,153284.4
354.46,147028.3,7737.88,5.6,1738.0,0.0,0.0,153284.4
354.57,147048.7,7737.88,5.6,1738.0,0.0,0.0,153284.4
354.67,147065.7,7737.88,5.6,1737.9,0.0,0.0,153284.4
354.78,147082.7,7737.88,5.6,1737.8,0.0,0.0,153284.4
354.88,147103.0,7737.88,5.6,1737.7,0.0,0.0,153284.4
354.99,147120.0,7737.88,5.6,1737.7,0.0,0.0,153284.4
355.10,147140.3,7737.88,5.6,1737.6,0.0,0.0,153284.4
355.20,147157.1,7737.88,5.6,1737.6,0.0,0.0,153284.4
355.31,147174.0,7737.88,5.6,1737.5,0.0,0.0,153284.4
355.41,147194.2,7737.88,5.6,1737.4,0.0,0.0,153284.4
355.52,147211.0,7737.88,5.6,1737.4,0.0,0.0,153284.4
355.62,147227.8,7737.88,5.6,1737.3,0.0,0.0,153284.4
355.72,147244.5,7737.88,5.6,1737.2,0.0,0.0,153284.4
355.83,147261.2,7737.88,5.5,1737.2,0.0,0.0,153284.4
355.94,147277.9,7737.88,5.5,1737.1,0.0,0.0,153284.4
356.05,147298.0,7737.88,5.5,1737.0,0.0,0.0,153284.4
356.15,147314.6,7737.88,5.5,1737.0,0.0,0.0,153284.4
356.26,147334.6,7737.88,5.5,1736.9,0.0,0.0,153284.4
356.36,147351.2,7737.88,5.5,1736.9,0.0,0.0,153284.4
356.46,147367.8,7737.88,5.5,1736.8,0.0,0.0,153284.4
356.56,147384.3,7737.88,5.5,1736.7,0.0,0.0,153284.4
356.67,147400.9,7737.88,5.5,1736.7,0.0,0.0,153284.4
356.78,147420.7,7737.88,5.5,1736.6,0.0,0.0,153284.4
356.89,147437.2,7737.88,5.5,1736.5,0.0,0.0,153284.4
357.00,147456.9,7737.88,5.5,1736.5,0.0,0.0,153284.4
357.10,147473.3,7737.88,5.4,1736.4,0.0,0.0,153284.4
357.20,147486.5,7737.88,5.4,1736.4,0.0,0.0,153284.4
357.31,147506.1,7737.88,5.4,1736.3,0.0,0.0,153284.4
357.42,147525.8,7737.88,5.4,1736.2,0.0,0.0,153284.4
357.52,147542.1,7737.88,5.4,1736.2,0.0,0.0,153284.4
357.62,147555.2,7737.88,5.4,1736.1,0.0,0.0,153284.4
357.72,147574.7,7737.88,5.4,1736.0,0.0,0.0,153284.4
357.83,147591.0,7737.88,5.4,1736.0,0.0,0.0,153284.4
357.93,147610.5,7737.88,5.4,1735.9,0.0,0.0,153284.4
358.04,147623.5,7737.88,5.4,1735.9,0.0,0.0,153284.4
358.14,147642.9,7737.88,5.4,1735.8,0.0,0.0,153284.4
358.24,147659.1,7737.88,5.4,1735.7,0.0,0.0,153284.4
358.35,147675.2,7737.88,5.4,1735.7,0.0,0.0,153284.4
358.45,147694.5,7737.88,5.3,1735.6,0.0,0.0,153284.4
358.56,147710.6,7737.88,5.3,1735.6,0.0,0.0,153284.4
358.67,147726.7,7737.88,5.3,1735.5,0.0,0.0,153284.4
358.77,147742.8,7737.88,5.3,1735.4,0.0,0.0,153284.4
358.88,147762.0,7737.88,5.3,1735.4,0.0,0.0,153284.4
358.98,147774.8,7737.88,5.3,1735.3,0.0,0.0,153284.4
359.09,147790.8,7737.88,5.3,1735.2,0.0,0.0,153284.4
359.19,147813.1,7737.88,5.3,1735.2,0.0,0.0,153284.4
359.30,147829.0,7737.88,5.3,1735.1,0.0,0.0,153284.4
359.40,147844.9,7737.88,5.3,1735.1,0.0,0.0,153284.4
359.51,147860.8,7737.88,5.3,1735.0,0.0,0.0,153284.4
359.62,147879.8,7737.88,5.3,1734.9,0.0,0.0,153284.4
359.72,147895.6,7737.88,5.3,1734.9,0.0,0.0,153284.4
359.83,147914.6,7737.88,5.2,1734.8,0.0,0.0,153284.4
359.93,147927.2,7737.88,5.2,1734.8,0.0,0.0,153284.4
360.04,147946.1,7737.88,5.2,1734.7,0.0,0.0,153284.4
360.14,147961.9,7737.88,5.2,1734.6,0.0,0.0,153284.4
360.25,147971.3,7737.88,5.2,1734.6,0.0,0.0,153284.4
360.36,147993.2,7737.88,5.2,1734.5,0.0,0.0,153284.4
360.46,148008.9,7737.88,5.2,1734.5,0.0,0.0,153284.4
360.57,148024.5,7737.88,5.2,1734.4,0.0,0.0,153284.4
360.68,148040.1,7737.88,5.2,1734.4,0.0,0.0,153284.4
360.79,148055.7,7737.88,5.2,1734.3,0.0,0.0,153284.4
360.89,148071.3,7737.88,5.2,1734.2,0.0,0.0,153284.4
361.00,148089.9,7737.88,5.2,1734.2,0.0,0.0,153284.4
361.11,148108.6,7737.88,5.1,1734.1,0.0,0.0,153284.4
361.21,148121.0,7737.88,5.1,1734.1,0.0,0.0,153284.4
361.32,148139.5,7737.88,5.1,1734.0,0.0,0.0,153284.4
361.43,148158.0,7737.88,5.1,1733.9,0.0,0.0,153284.4
361.53,148173.4,7737.88,5.1,1733.9,0.0,0.0,153284.4
361.63,148185.8,7737.88,5.1,1733.8,0.0,0.0,153284.4
361.74,148204.2,7737.88,5.1,1733.8,0.0,0.0,153284.4
361.85,148222.6,7737.88,5.1,1733.7,0.0,0.0,153284.4
361.95,148237.9,7737.88,5.1,1733.6,0.0,0.0,153284.4
362.06,148253.2,7737.88,5.1,1733.6,0.0,0.0,153284.4
362.16,148268.5,7737.88,5.1,1733.5,0.0,0.0,153284.4
362.26,148283.7,7737.88,5.1,1733.5,0.0,0.0,153284.4
362.37,148302.0,7737.88,5.1,1733.4,0.0,0.0,153284.4
362.47,148317.2,7737.88,5.0,1733.3,0.0,0.0,153284.4
362.58,148332.4,7737.88,5.0,1733.3,0.0,0.0,153284.4
362.69,148350.5,7737.88,5.0,1733.2,0.0,0.0,153284.4
362.79,148362.6,7737.88,5.0,1733.2,0.0,0.0,153284.4
362.90,148380.7,7737.88,5.0,1733.1,0.0,0.0,153284.4
363.01,148398.8,7737.88,5.0,1733.0,0.0,0.0,153284.4
363.12,148413.9,7737.88,5.0,1733.0,0.0,0.0,153284.4
363.23,148428.9,7737.88,5.0,1732.9,0.0,0.0,153284.4
363.33,148443.9,7737.88,5.0,1732.9,0.0,0.0,153284.4
363.43,148458.9,7737.88,5.0,1732.8,0.0,0.0,153284.4
363.53,148476.8,7737.88,5.0,1732.8,0.0,0.0,153284.4
363.64,148491.7,7737.88,5.0,1732.7,0.0,0.0,153284.4
363.75,148509.6,7737.88,4.9,1732.6,0.0,0.0,153284.4
363.85,148521.5,7737.88,4.9,1732.6,0.0,0.0,153284.4
363.95,148539.3,7737.88,4.9,1732.5,0.0,0.0,153284.4
364.06,148554.2,7737.88,4.9,1732.5,0.0,0.0,153284.4
364.16,148569.0,7737.88,4.9,1732.4,0.0,0.0,153284.4
364.27,148583.7,7737.88,4.9,1732.4,0.0,0.0,153284.4
364.38,148601.5,7737.88,4.9,1732.3,0.0,0.0,153284.4
364.49,148616.2,7737.88,4.9,1732.2,0.0,0.0,153284.4
364.59,148633.8,7737.88,4.9,1732.2,0.0,0.0,153284.4
364.77,148645.6,7737.88,4.9,1732.2,0.0,0.0,153284.4
364.87,148663.2,7737.88,4.9,1732.1,0.0,0.0,153284.4
364.97,148677.8,7737.88,4.9,1732.0,0.0,0.0,153284.4
365.08,148695.3,7737.88,4.9,1732.0,0.0,0.0,153284.4
365.19,148709.9,7737.88,4.8,1731.9,0.0,0.0,153284.4
365.30,148727.4,7737.88,4.8,1731.8,0.0,0.0,153284.4
365.40,148741.9,7737.88,4.8,1731.8,0.0,0.0,153284.4
365.51,148750.6,7737.88,4.8,1731.8,0.0,0.0,153284.4
365.61,148770.9,7737.88,4.8,1731.7,0.0,0.0,153284.4
365.72,148785.3,7737.88,4.8,1731.6,0.0,0.0,153284.4
365.83,148796.9,7737.88,4.8,1731.6,0.0,0.0,153284.4
365.93,148817.1,7737.88,4.8,1731.5,0.0,0.0,153284.4
366.03,148831.5,7737.88,4.8,1731.5,0.0,0.0,153284.4
366.14,148845.8,7737.88,4.8,1731.4,0.0,0.0,153284.4
366.25,148860.2,7737.88,4.8,1731.4,0.0,0.0,153284.4
366.35,148874.5,7737.88,4.8,1731.3,0.0,0.0,153284.4
366.45,148888.8,7737.88,4.8,1731.3,0.0,0.0,153284.4
366.56,148905.9,7737.88,4.7,1731.2,0.0,0.0,153284.4
366.66,148920.1,7737.88,4.7,1731.2,0.0,0.0,153284.4
366.77,148934.3,7737.88,4.7,1731.1,0.0,0.0,153284.4
366.88,148951.4,7737.88,4.7,1731.0,0.0,0.0,153284.4
366.98,148965.5,7737.88,4.7,1731.0,0.0,0.0,153284.4
367.09,148979.7,7737.88,4.7,1730.9,0.0,0.0,153284.4
367.20,148988.2,7737.88,4.7,1730.9,0.0,0.0,153284.4
367.30,149007.9,7737.88,4.7,1730.8,0.0,0.0,153284.4
367.41,149022.0,7737.88,4.7,1730.8,0.0,0.0,153284.4
367.52,149038.8,7737.88,4.7,1730.7,0.0,0.0,153284.4
367.63,149052.9,7737.88,4.7,1730.7,0.0,0.0,153284.4
367.73,149066.9,7737.88,4.7,1730.6,0.0,0.0,153284.4
367.84,149083.6,7737.88,4.6,1730.6,0.0,0.0,153284.4
367.94,149097.6,7737.88,4.6,1730.5,0.0,0.0,153284.4
368.05,149111.5,7737.88,4.6,1730.5,0.0,0.0,153284.4
368.15,149125.4,7737.88,4.6,1730.4,0.0,0.0,153284.4
368.26,149142.1,7737.88,4.6,1730.3,0.0,0.0,153284.4
368.37,149155.9,7737.88,4.6,1730.3,0.0,0.0,153284.4
368.47,149169.7,7737.88,4.6,1730.2,0.0,0.0,153284.4
368.58,149186.3,7737.88,4.6,1730.2,0.0,0.0,153284.4
368.69,149200.1,7737.88,4.6,1730.1,0.0,0.0,153284.4
368.79,149211.1,7737.88,4.6,1730.1,0.0,0.0,153284.4
368.90,149224.8,7737.88,4.6,1730.0,0.0,0.0,153284.4
369.00,149238.5,7737.88,4.6,1730.0,0.0,0.0,153284.4
369.11,149255.0,7737.88,4.6,1729.9,0.0,0.0,153284.4
369.21,149271.4,7737.88,4.5,1729.9,0.0,0.0,153284.4
369.32,149285.0,7737.88,4.5,1729.8,0.0,0.0,153284.4
369.43,149301.3,7737.88,4.5,1729.8,0.0,0.0,153284.4
369.53,149314.9,7737.88,4.5,1729.7,0.0,0.0,153284.4
369.63,149323.0,7737.88,4.5,1729.7,0.0,0.0,153284.4
369.74,149339.3,7737.88,4.5,1729.6,0.0,0.0,153284.4
369.85,149355.5,7737.88,4.5,1729.6,0.0,0.0,153284.4
369.95,149369.0,7737.88,4.5,1729.5,0.0,0.0,153284.4
370.05,149382.5,7737.88,4.5,1729.5,0.0,0.0,153284.4
370.16,149395.9,7737.88,4.5,1729.4,0.0,0.0,153284.4
370.26,149409.3,7737.88,4.5,1729.4,0.0,0.0,153284.4
370.37,149425.4,7737.88,4.5,1729.3,0.0,0.0,153284.4
370.48,149438.8,7737.88,4.5,1729.3,0.0,0.0,153284.4
370.58,149452.1,7737.88,4.4,1729.2,0.0,0.0,153284.4
370.69,149468.1,7737.88,4.4,1729.2,0.0,0.0,153284.4
370.79,149481.4,7737.88,4.4,1729.1,0.0,0.0,153284.4
370.90,149494.7,7737.88,4.4,1729.1,0.0,0.0,153284.4
371.00,149507.9,7737.88,4.4,1729.0,0.0,0.0,153284.4
371.11,149523.8,7737.88,4.4,1729.0,0.0,0.0,153284.4
371.22,149537.0,7737.88,4.4,1728.9,0.0,0.0,153284.4
371.32,149550.1,7737.88,4.4,1728.9,0.0,0.0,153284.4
371.42,149565.9,7737.88,4.4,1728.8,0.0,0.0,153284.4
371.53,149579.0,7737.88,4.4,1728.7,0.0,0.0,153284.4
371.63,149592.1,7737.88,4.4,1728.7,0.0,0.0,153284.4
371.73,149605.2,7737.88,4.4,1728.7,0.0,0.0,153284.4
371.84,149618.3,7737.88,4.3,1728.6,0.0,0.0,153284.4
371.94,149631.3,7737.88,4.3,1728.6,0.0,0.0,153284.4
372.04,149644.3,7737.88,4.3,1728.5,0.0,0.0,153284.4
372.15,149659.9,7737.88,4.3,1728.5,0.0,0.0,153284.4
372.25,149672.8,7737.88,4.3,1728.4,0.0,0.0,153284.4
372.36,149685.8,7737.88,4.3,1728.3,0.0,0.0,153284.4
372.47,149698.7,7737.88,4.3,1728.3,0.0,0.0,153284.4
372.57,149714.1,7737.88,4.3,1728.3,0.0,0.0,153284.4
372.68,149727.0,7737.88,4.3,1728.2,0.0,0.0,153284.4
372.78,149739.8,7737.88,4.3,1728.2,0.0,0.0,153284.4
372.89,149755.2,7737.88,4.3,1728.1,0.0,0.0,153284.4
373.00,149768.0,7737.88,4.3,1728.1,0.0,0.0,153284.4
373.11,149780.7,7737.88,4.3,1728.0,0.0,0.0,153284.4
373.21,149796.0,7737.88,4.2,1728.0,0.0,0.0,153284.4
373.32,149808.7,7737.88,4.2,1727.9,0.0,0.0,153284.4
373.43,149824.0,7737.88,4.2,1727.9,0.0,0.0,153284.4
373.54,149836.6,7737.88,4.2,1727.8,0.0,0.0,153284.4
373.64,149851.8,7737.88,4.2,1727.8,0.0,0.0,153284.4
373.74,149864.4,7737.88,4.2,1727.7,0.0,0.0,153284.4
373.85,149877.0,7737.88,4.2,1727.7,0.0,0.0,153284.4
373.95,149889.5,7737.88,4.2,1727.6,0.0,0.0,153284.4
374.06,149902.1,7737.88,4.2,1727.6,0.0,0.0,153284.4
374.17,149917.1,7737.88,4.2,1727.5,0.0,0.0,153284.4
374.27,149929.6,7737.88,4.2,1727.5,0.0,0.0,153284.4
374.38,149942.0,7737.88,4.2,1727.4,0.0,0.0,153284.4
374.48,149954.5,7737.88,4.1,1727.4,0.0,0.0,153284.4
374.58,149966.9,7737.88,4.1,1727.3,0.0,0.0,153284.4
374.68,149979.3,7737.88,4.1,1727.3,0.0,0.0,153284.4
374.79,149989.2,7737.88,4.1,1727.3,0.0,0.0,153284.4
374.89,150001.5,7737.88,4.1,1727.2,0.0,0.0,153284.4
374.99,150016.3,7737.88,4.1,1727.2,0.0,0.0,153284.4
375.10,150028.6,7737.88,4.1,1727.1,0.0,0.0,153284.4
375.20,150040.9,7737.88,4.1,1727.1,0.0,0.0,153284.4
375.31,150055.6,7737.88,4.1,1727.0,0.0,0.0,153284.4
375.41,150067.8,7737.88,4.1,1727.0,0.0,0.0,153284.4
375.51,150080.0,7737.88,4.1,1726.9,0.0,0.0,153284.4
375.62,150092.2,7737.88,4.1,1726.9,0.0,0.0,153284.4
375.73,150106.8,7737.88,4.1,1726.8,0.0,0.0,153284.4
375.83,150118.9,7737.88,4.0,1726.8,0.0,0.0,153284.4
375.93,150131.0,7737.88,4.0,1726.8,0.0,0.0,153284.4
376.04,150143.1,7737.88,4.0,1726.7,0.0,0.0,153284.4
376.15,150157.6,7737.88,4.0,1726.7,0.0,0.0,153284.4
376.25,150169.6,7737.88,4.0,1726.6,0.0,0.0,153284.4
376.36,150184.0,7737.88,4.0,1726.6,0.0,0.0,153284.4
376.47,150196.0,7737.88,4.0,1726.5,0.0,0.0,153284.4
376.57,150208.0,7737.88,4.0,1726.5,0.0,0.0,153284.4
376.68,150219.9,7737.88,4.0,1726.4,0.0,0.0,153284.4
376.78,150231.8,7737.88,4.0,1726.4,0.0,0.0,153284.4
